,Country,Industry,Gas_Type,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021
73,Africa,Total Households,Methane,0.619344124,0.629146653,0.685982422,0.794409998,0.837287194,0.841739162,0.894096798,0.89903146,0.992525718,1.002103264,0.930041001,0.784638374
74,Africa,Total Households,Nitrous oxide,16.81660564,17.29781594,17.69367249,17.92501509,18.42728418,18.72120813,19.0805675,19.68260136,19.91063032,20.16495872,18.56304521,16.221061
75,Africa,Total Industry and Households,Carbon dioxide,1246.960845,1237.301321,1307.301838,1354.147881,1406.161106,1403.352118,1421.318247,1452.328881,1528.274322,1538.868218,1429.573145,1514.713658
76,Africa,Total Industry and Households,Fluorinated gases,35.13389268,35.54825028,36.23255859,37.32658879,40.44662936,44.24777497,49.83108552,55.27217303,61.8477031,61.80604633,57.6379358,57.96696423
77,Africa,Total Industry and Households,Greenhouse gas,2693.931976,2689.635746,2822.887502,2875.850921,2952.123376,2975.167976,3019.842159,3088.292528,3192.437097,3213.00786,2962.475206,3039.75344
78,Africa,Total Industry and Households,Methane,1125.47011,1125.467166,1178.433597,1174.981485,1190.89537,1207.423669,1220.251303,1246.303123,1263.485677,1271.970065,1165.946886,1173.803628
79,Africa,Total Industry and Households,Nitrous oxide,286.3671288,291.3190092,300.919508,309.3949667,314.6202705,320.1444136,328.4415242,334.3883522,338.8293957,340.36353,309.317239,293.2691901
80,Africa,Transportation and Storage,Carbon dioxide,97.70630567,96.40333242,99.41334516,107.8199102,113.0122651,115.8255325,119.609492,121.4060219,126.5424405,130.1454445,111.5121055,105.0733636
81,Africa,Transportation and Storage,Greenhouse gas,102.8093782,101.5320496,104.7599377,113.4752459,118.9033241,121.8549171,125.7657533,127.5666889,132.8860235,136.6795536,117.5989276,110.6153497
82,Africa,Transportation and Storage,Methane,0.561552573,0.566359488,0.592251714,0.630705018,0.646374302,0.667862665,0.696628333,0.690576955,0.720150585,0.766143762,0.756363048,0.837748337
83,Africa,Transportation and Storage,Nitrous oxide,4.541519962,4.562357729,4.754340804,5.024630633,5.2446847,5.361521909,5.459632955,5.470090079,5.623432504,5.767965329,5.330459065,4.704237824
84,Africa,"Water supply; sewerage, waste management and remediation activities",Carbon dioxide,41.30991567,37.5860229,38.78627023,37.58931505,36.69412976,36.91710217,36.14488154,36.26892197,36.02352538,36.77600297,34.95956381,36.74455104
85,Africa,"Water supply; sewerage, waste management and remediation activities",Greenhouse gas,422.43694,416.3238513,433.9514778,429.1376048,433.2990997,439.5937828,439.760278,452.9283313,458.3429658,462.8681132,429.5863204,441.8863107
86,Africa,"Water supply; sewerage, waste management and remediation activities",Methane,369.0055573,366.1517275,381.959053,377.5269301,382.2446327,387.9767512,388.5899253,401.337799,406.6522673,410.3072906,380.1434365,391.0073618
87,Africa,"Water supply; sewerage, waste management and remediation activities",Nitrous oxide,12.12146698,12.58610088,13.20615463,14.02135967,14.36033721,14.69992944,15.02547111,15.32161023,15.66717318,15.78481966,14.4833201,14.1343979
133,Asia,"Agriculture, Forestry and Fishing",Carbon dioxide,113.9185714,118.393592,107.7967398,108.0652265,103.9096021,112.0853379,109.778451,107.8521025,106.7711695,106.8229604,106.5101331,109.5704617
134,Asia,"Agriculture, Forestry and Fishing",Greenhouse gas,2845.217931,2883.997152,2885.157227,2902.924342,2878.060298,2910.327768,2918.479107,2935.802618,2941.458373,3075.611703,2998.238261,3186.666877
135,Asia,"Agriculture, Forestry and Fishing",Methane,1890.180634,1902.230565,1910.005157,1921.089388,1919.157227,1925.979687,1943.093774,1969.123339,1974.377209,2071.889702,2017.754715,2118.339709
136,Asia,"Agriculture, Forestry and Fishing",Nitrous oxide,841.118726,863.3729955,867.3553301,873.7697268,854.9934686,872.2627429,865.6068819,858.8271764,860.3099941,896.8990407,873.973413,958.7567063
137,Asia,Construction,Carbon dioxide,1454.539669,1521.197527,1550.651904,1571.873144,1602.221903,1596.666956,1548.827955,1548.142978,1588.554863,1625.398504,1617.135783,1703.09913
138,Asia,Construction,Greenhouse gas,1948.081253,2046.289331,2084.625628,2112.701877,2152.282839,2152.115937,2120.71936,2128.58052,2179.102801,2238.965953,2215.28645,2319.111095
139,Asia,Construction,Methane,487.6402008,518.9591651,527.7213284,534.6372623,543.7334693,549.1135584,565.8643204,574.5524139,584.5618589,607.4016408,592.0918978,609.5470778
140,Asia,Construction,Nitrous oxide,5.901383072,6.132638816,6.252395753,6.191470859,6.327466972,6.335422149,6.02708436,5.885128252,5.986079273,6.165808367,6.058768575,6.464887345
141,Asia,"Electricity, Gas, Steam and Air Conditioning Supply",Carbon dioxide,6479.179667,7119.958304,7475.948858,7803.11748,7898.958209,7882.620858,8052.248528,8404.598632,8637.602451,8772.523844,8660.220545,9267.24213
